smiles,solvent,source,peakwavs_max,wb97xd2_dev2svp_gaus_solv,wb97xd2_dev2svp_gaus_vac,wb97xd3_def2svpd_orca_vac
C#CC(=O)c1ccc2c(c1)C(C)(C)c1cc(N(C)C)ccc1-2,O,chem_fluor,421.0,356.93724812895795,320.9358904676864,319.5052821437774
C#CC(C#C)=c1s/c(=c2/s/c(=C\c3ccc(N4c5ccccc5C5CCCC54)cc3)c(=O)n2CC(=O)O)c(=O)n1CCCCCCCC,ClC(Cl)Cl,dye_agg,541.0,,,
C#CC1=CN2C(=N/[N+](=C/c3ccc(-c4cccs4)cc3)[B-]2(F)F)C=C1,CO,chem_fluor,481.0,444.795178994189,,408.70138431114043
C#CC1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,C1CCOC1,joung,332.0,,,
C#CC1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,CCCC#N,joung,332.0,,,
C#CCN(C)c1ccc2c(c1)C(C)(C)c1cc(C(C)=O)ccc1-2,C1COCCO1,chem_fluor,357.0,319.52174809317665,307.2044395996432,309.14983794564944
C#CCN(C)c1ccc2c(c1)C(C)(C)c1cc(C(C)=O)ccc1-2,CC#N,chem_fluor,358.0,321.385065961693,307.2044395996432,309.14983794564944
C#CCN(C)c1ccc2c(c1)C(C)(C)c1cc(C(C)=O)ccc1-2,CC(C)=O,chem_fluor,359.0,321.4433844877644,307.2044395996432,309.14983794564944
C#CCN(C)c1ccc2c(c1)C(C)(C)c1cc(C(C)=O)ccc1-2,CCCCO,chem_fluor,366.0,321.927410561296,307.2044395996432,309.14983794564944
C#CCN(C)c1ccc2c(c1)C(C)(C)c1cc(C(C)=O)ccc1-2,CCO,chem_fluor,364.0,321.5350706599248,307.2044395996432,309.14983794564944
C#CCN(C)c1ccc2c(c1)C(C)(C)c1cc(C(C)=O)ccc1-2,CCOC(C)=O,chem_fluor,357.0,320.81134223326086,307.2044395996432,309.14983794564944
C#CCN(C)c1ccc2c(c1)C(C)(C)c1cc(C(C)=O)ccc1-2,CN(C)C=O,chem_fluor,364.0,322.5386916374041,307.2044395996432,309.14983794564944
C#CCN(C)c1ccc2c(c1)C(C)(C)c1cc(C(C)=O)ccc1-2,CO,chem_fluor,363.0,321.1436859007562,307.2044395996432,309.14983794564944
C#CCN(C)c1ccc2c(c1)C(C)(C)c1cc(C(C)=O)ccc1-2,CS(C)=O,chem_fluor,366.0,322.4045136631913,307.2044395996432,309.14983794564944
C#CCN(C)c1ccc2c(c1)C(C)(C)c1cc(C(C)=O)ccc1-2,ClCCl,chem_fluor,362.0,321.8689162881246,307.2044395996432,309.14983794564944
C#CCN(CC#C)CC#Cc1nn([C@H]2C[C@H](O)[C@@H](CO)O2)c2nc(NC(=O)C(C)C)[nH]c(=O)c12,CO,jcole,286.0,250.3381583994509,,245.05928853754943
C#CCN(CC#C)CC#Cc1nn([C@H]2C[C@H](O)[C@@H](COC(c3ccccc3)(c3ccc(OC)cc3)c3ccc(OC)cc3)O2)c2nc(NC(=O)C(C)C)[nH]c(=O)c12,CO,jcole,274.0,252.15552301935904,,247.6532854004394
C#CCN1C(=O)/C(=C/c2cc(OC(C)C)ccc2OC(C)C)N=C1C,C1COCCO1,joung,396.0,,,350.7779349363508
C#CCN1C(=O)/C(=C/c2cc(OC(C)C)ccc2OC(C)C)N=C1C,CC#N,joung,395.0,,,350.7779349363508
C#CCN1C(=O)/C(=C/c2cc(OC(C)C)ccc2OC(C)C)N=C1C,CC(C)=O,joung,394.0,,,350.7779349363508
C#CCN1C(=O)/C(=C/c2cc(OC(C)C)ccc2OC(C)C)N=C1C,CCCCCC,joung,392.0,,,350.7779349363508
C#CCN1C(=O)/C(=C/c2cc(OC(C)C)ccc2OC(C)C)N=C1C,CCCCO,joung,400.0,,,350.7779349363508
C#CCN1C(=O)/C(=C/c2cc(OC(C)C)ccc2OC(C)C)N=C1C,CCCO,joung,400.0,,,350.7779349363508
C#CCN1C(=O)/C(=C/c2cc(OC(C)C)ccc2OC(C)C)N=C1C,CCO,joung,399.0,,,350.7779349363508
C#CCN1C(=O)/C(=C/c2cc(OC(C)C)ccc2OC(C)C)N=C1C,CCOC(C)=O,joung,393.0,,,350.7779349363508
C#CCN1C(=O)/C(=C/c2cc(OC(C)C)ccc2OC(C)C)N=C1C,CN(C)C=O,joung,399.0,,,350.7779349363508
C#CCN1C(=O)/C(=C/c2cc(OC(C)C)ccc2OC(C)C)N=C1C,CO,joung,398.0,,,350.7779349363508
C#CCN1C(=O)/C(=C/c2cc(OC(C)C)ccc2OC(C)C)N=C1C,CS(C)=O,joung,401.0,,,350.7779349363508
C#CCNC1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,C1CCCCC1,joung,468.5,,,371.81409295352324
C#CCNC1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(C)=O,joung,453.0,,,371.81409295352324
C#CCNC1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCOC(C)=O,joung,457.0,,,371.81409295352324
C#CCNC1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CO,joung,453.0,,,371.81409295352324
C#CCNC1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,OCC(F)(F)F,joung,450.5,,,371.81409295352324
C#CCNC1=C2C=C(c3cc4n(c3)[B-](F)(F)[N+]3=CC=CC3=C4c3c(C)cc(C)cc3C)C(C)=[N+]2[B-](F)(F)n2c(C)ccc21,C1CCCCC1,joung,568.0,,,
C#CCNC1=C2C=C(c3cc4n(c3)[B-](F)(F)[N+]3=CC=CC3=C4c3c(C)cc(C)cc3C)C(C)=[N+]2[B-](F)(F)n2c(C)ccc21,CCOC(C)=O,joung,568.0,,,
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,C1CCCCC1,multiple,424.25,,,341.8803418803419
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CC(C)=O,joung,406.0,,,341.8803418803419
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CCCCO,joung,406.0,,,341.8803418803419
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CCCO,joung,408.0,,,341.8803418803419
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CCO,multiple,406.25,,,341.8803418803419
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CCOC(C)=O,multiple,408.5,358.6406362979031,,341.8803418803419
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CN(C)C=O,joung,404.0,,,341.8803418803419
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CO,multiple,403.0,355.2703206028135,,341.8803418803419
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CS(C)=O,joung,404.0,,,341.8803418803419
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,Cc1ccccc1,joung,421.0,,,341.8803418803419
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,ClC(Cl)Cl,joung,418.0,,,341.8803418803419
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,OCC(F)(F)F,joung,404.0,,,341.8803418803419
C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,c1ccccc1,joung,422.0,,,341.8803418803419
C#CCOc1ccc(/C=C/C2=[N+]3C(=C(c4ccc(N(C)C)cc4)c4c(C)cc(C)n4[B-]3(F)F)C(C)=C2)cc1,CO,joung,567.0,,,446.68587896253604
C#CCOc1ccc(/C=C/C2=[N+]3C(=C(c4ccc(N(C)CC)cc4)c4c(C)cc(C)n4[B-]3(F)F)C(C)=C2)cc1,CO,joung,569.0,,,446.68587896253604
C#CCOc1ccc(/C=C/C2=[N+]3C(=C(c4ccc(N(CC)CC)cc4)c4c(C)cc(/C=C/c5ccc(OCC(=O)OC)cc5)n4[B-]3(F)F)C(C)=C2)cc1,CO,joung,640.0,,,311.636089469716
C#CCOc1ccc(/C=C/C2=[N+]3C(=C(c4ccc(N(CC)CC)cc4)c4c(C)cc(/C=C/c5ccc(S(=O)(=O)O)cc5S(=O)(=O)O)n4[B-]3(F)F)C(C)=C2)cc1,O,joung,643.0,,,320.24793388429754
C#CCOc1ccc(/C=C/C2=[N+]3C(=C(c4ccc(N(CC)CC)cc4)c4c(C)cc(C)n4[B-]3(F)F)C(C)=C2)cc1,CO,joung,568.0,,,447.0079307858688
C#CCOc1ccc(/C=C/C2=[N+]3C(=C(c4ccc(N5CCCCC5)cc4)c4c(C)cc(C)n4[B-]3(F)F)C(C)=C2)cc1,CO,joung,568.0,,,447.6534296028881
C#CCOc1ccc(/C=C/C2=[N+]3C(=C(c4ccccc4)c4c(C)cc(C)n4[B-]3(F)F)C(C)=C2)cc1,CO,joung,563.0,,,448.13877846042647
C#CCOc1ccc(C2=[N+]3C(=Nc4c(-c5ccccc5)cc(-c5ccc(O)cc5)n4[B-]3(F)F)C(c3ccccc3)=C2)cc1,CO,joung,688.0,,,540.5405405405405
C#CCOc1ccc(C2=[N+]3C(=Nc4c(-c5ccccc5)cc(-c5ccc(O)cc5)n4[B-]3(F)F)C(c3ccccc3)=C2)cc1,Cc1ccccc1,joung,685.0,,,540.5405405405405
C#CCOc1ccc(C2=[N+]3C(=Nc4c(-c5ccccc5)cc(-c5ccc(O)cc5)n4[B-]3(F)F)C(c3ccccc3)=C2)cc1,ClC(Cl)Cl,joung,680.0,,,540.5405405405405
C#CC[NH+]=C1c2cccn2[B-](F)(F)n2cccc21,CCOC(C)=O,chem_fluor,408.5,358.66138316026957,,341.9746276889134
C#CCn1c2ccccc2c2cc(C(=O)OC)nc(-c3nc4c(C)cc(C)cc4[nH]3)c21,ClC(Cl)Cl,chem_fluor,383.73,333.4319287961494,,316.4880040837162
C#Cc1cc(C=C(C#N)C(=O)O)ccc1C#Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,ClC(Cl)Cl,multiple,424.0,419.7982260139481,,382.5979635914841
C#Cc1ccc(-c2c3nc(c(-c4ccc(C#C)cc4)c4ccc([nH]4)c(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)c4cc(c(-c5cc(C(C)(C)C)cc(C(C)(C)C)c5)c5ccc2[nH]5)C=N4)C=C3)cc1,ClCCl,joung,727.0,,,343.4903047091413
C#Cc1ccc(-c2nc(-c3ccc(C#C)s3)nc(-c3ccc(C#C)s3)n2)s1,ClCCl,joung,348.0,,,309.69030969030973
C#Cc1ccc(/C2=c3\cc/c([nH]3)=C(\c3ccc(C#C)cc3)C3=N/C(=C(/c4cc(C(C)(C)C)cc(C(C)(C)C)c4)c4cc(c[nH]4)/C(c4cc(C(C)(C)C)cc(C(C)(C)C)c4)=C4/C=CC2=N4)C=C3)cc1,CC(=O)N(C)C,joung,703.0,,,353.37703049301797
C#Cc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(C)C=C(C)C2=C3)cc1,CCO,chem_fluor,567.0,509.91035446994,461.1722701576912,452.3896388179496
C#Cc1ccc(C#Cc2cnc(C#Cc3ccccc3)nc2)cc1,C1CCCCC1,joung,325.0,,,305.94621268196397
C#Cc1ccc(C(=O)c2cc(C#C)c3ccc4c(C#C)cc(C#C)c5ccc2c3c45)cc1,CCCCCC,jcole,428.0,409.8360655737705,,368.82807852468767
C#Cc1ccc(C=C(C#N)C(=O)O)cc1C#Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,ClC(Cl)Cl,multiple,350.0,336.7186227122142,,316.0846291103747
C#Cc1ccc(N(c2ccc(C#Cc3ccc(OC)nn3)cc2)c2ccc(C#Cc3ccc(OC)nn3)cc2)cc1,ClCCl,jcole,367.0,356.2808872543386,,333.6023675006726
C#Cc1ccc2c(C)cc(=O)oc2c1,CCO,joung,325.0,,,282.9758101323597
C#Cc1ccc2cc(/C=C/C(=O)OCC)c(=O)oc2c1,CCO,joung,360.0,,,331.01975440469835
C#Cc1ccc2cc(N(C)C)ccc2c1,CC#N,chem_fluor,325.0,329.89251888900714,,307.0827142149579
C#Cc1ccc2cc(N(C)C)ccc2c1,Cc1ccccc1,chem_fluor,325.0,327.53110224781426,,307.0827142149579
C#Cc1ccc2cc(N(C)C)ccc2c1,O,chem_fluor,314.0,329.9803076268029,,307.0827142149579
C#Cc1ccc2cc3c(C)cc(=O)oc3cc2c1,CCO,joung,334.0,,,313.92405063291136
C#Cc1ccc2ccc3cccc4ccc1c2c34,C1CCCCC1,joung,357.0,,,316.1652218255992
C#Cc1ccc2ccc3cccc4ccc1c2c34,CC#N,joung,356.0,,,316.1652218255992
C#Cc1ccc2ccc3cccc4ccc1c2c34,CO,joung,355.0,,,316.1652218255992
C#Cc1ccc2ccc3cccc4ccc1c2c34,ClCCl,joung,358.0,,,316.1652218255992
C#Cc1ccc2ccc3oc(=O)cc(C)c3c2c1,CCO,joung,362.0,,,307.006684822976
C#Cc1cccc2ccccc12,C1CCCCC1,joung,310.0,,,275.0665483584738
C#Cc1cccc2ccccc12,CC#N,joung,306.0,,,275.0665483584738
C#Cc1cccc2ccccc12,CO,joung,309.0,,,275.0665483584738
C#Cc1cccc2ccccc12,ClCCl,joung,312.0,,,275.0665483584738
C#Cc1nc(C=Cc2ccc(OC)cc2)cc(C=Cc2ccc(OC)cc2)n1,ClCCl,jcole,364.0,354.38696770505857,,326.1441346659653
C#Cn1c(-c2cc(-c3nc4ccc(C)cc4n3C#C)cc(-c3nc4ccc(C)cc4n3C#C)c2)nc2ccc(C)cc21,ClCCl,joung,306.5,,,
C#Cn1c(-c2cc(-c3nc4ccccc4n3C#C)cc(-c3nc4ccccc4n3C#C)c2)nc2ccccc21,ClCCl,joung,305.5,,,
C(#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c1C#Cc1ccccc1)c1ccccc1,ClCCl,joung,371.0,,,
C(#Cc1c(C#Cc2cccs2)c(C#Cc2cccs2)c(C#Cc2cccs2)c(C#Cc2cccs2)c1C#Cc1cccs1)c1cccs1,ClCCl,joung,371.0,,,
C(#Cc1c2ccccc2c(-c2ccccc2)c2cc3ccccc3cc12)c1ccccc1,ClCCl,joung,522.0,,,453.382084095064
C(#Cc1c2ccccc2c(C#Cc2ccccc2)c2ccccc12)c1ccccc1,C1CCCCC1,chem_fluor,451.0,487.5747090279962,,382.36201048411965
C(#Cc1c2ccccc2c(C#Cc2ccccc2)c2ccccc12)c1ccccc1,ClCCl,jcole,464.0,487.5172007076863,,382.36201048411965
C(#Cc1cc(C#Cc2ccc(C=C3C=C(c4ccccc4)OC(c4ccccc4)=C3)cc2)ncn1)c1ccc(C=C2C=C(c3ccccc3)OC(c3ccccc3)=C2)cc1,ClCCl,jcole,614.0,443.3479924201795,,400.2582311168496
C(#Cc1cc(C#Cc2ccc([Si](c3ccccc3)(c3ccccc3)c3ccccc3)cc2)c2ccc3c(C#Cc4ccc([Si](c5ccccc5)(c5ccccc5)c5ccccc5)cc4)cc(C#Cc4ccc([Si](c5ccccc5)(c5ccccc5)c5ccccc5)cc4)c4ccc1c2c43)c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Cc1ccccc1,jcole,501.0,,,313.6064744562468
C(#Cc1cc(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c1C#Cc1ccccc1)c1ccccc1,ClCCl,joung,364.0,,,315.1207115628971
C(#Cc1cc(C#Cc2ccccc2)nc(C#Cc2ccccc2)n1)c1ccccc1,ClC(Cl)Cl,jcole,341.0,321.4433844877644,,302.58662762323087
C(#Cc1cc(C#Cc2cccs2)c(C#Cc2cccs2)c(C#Cc2cccs2)c1C#Cc1cccs1)c1cccs1,ClCCl,joung,372.0,,,340.5657786322439
C(#Cc1cc2ccc3cccc4ccc(c1)c2c34)c1ccccc1,Cc1ccccc1,joung,390.0,,,323.84434578218855
C(#Cc1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccc(-c2nc(-c3ccc(C#Cc4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)nc(-c3ccc(C#Cc4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)n2)cc1,ClCCl,joung,361.0,,,332.172515403161
C(#Cc1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,ClCCl,jcole,372.0,329.1394595742422,,312.10672036244654
C(#Cc1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccccc1,CC#N,joung,324.0,,,296.8637778309792
C(#Cc1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccccc1,CCCCC,joung,323.0,,,296.8637778309792
C(#Cc1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccccc1,CO,joung,322.0,,,296.8637778309792
C(#Cc1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccccc1,Cc1ccccc1,joung,329.0,,,296.8637778309792
C(#Cc1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccccc1,ClC(Cl)Cl,joung,326.0,,,296.8637778309792
C(#Cc1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccccc1,ClCCl,joung,326.0,,,296.8637778309792
C(#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1)c1ccccc1,ClC(Cl)Cl,joung,345.0,,,344.2531926707385
C(#Cc1ccc(C#Cc2ccccc2)cc1)c1ccccc1,ClC(Cl)Cl,joung,328.0,,,318.1118522319138
C(#Cc1ccc(N(c2ccc(C#Cc3ccc(-c4cc(-c5ccccc5)nc(-c5ccccc5)c4)cc3)cc2)c2ccc(C#Cc3ccc(-c4cc(-c5ccccc5)nc(-c5ccccc5)c4)cc3)cc2)cc1)c1ccc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)cc1,Cc1ccccc1,joung,378.0,,,346.56232532140865
C(#Cc1ccc(N(c2ccc(C#Cc3ccc(C=Cc4cnccn4)cc3)cc2)c2ccc(C#Cc3ccc(C=Cc4cnccn4)cc3)cc2)cc1)c1ccc(C=Cc2cnccn2)cc1,ClCCl,jcole,432.0,391.7851500789889,,367.18981344388516
C(#Cc1ccc2c(c1)Cc1ccccc1-2)c1ccc(-n2c3ccccc3c3ccccc32)cc1,ClCCl,jcole,404.0,335.461530137431,,315.36113936927774
C(#Cc1ccc2c(c1)c1cc(C#Cc3ccccc3)ccc1n2-c1cc2ccccc2c2ccccc12)c1ccccc1,ClCCl,joung,330.0,,,302.29156509019987
C(#Cc1ccc2ccc3cccc4ccc1c2c34)c1ccccc1,Cc1ccccc1,joung,362.0,,,320.66201189552623
C(#Cc1ccc2ccccc2c1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,ClCCl,jcole,372.0,327.45325868807436,,307.9215296746958
C(#Cc1ccc2ncsc2c1)c1ccc(N(c2ccc(C#Cc3ccc4ncsc4c3)cc2)c2ccc(C#Cc3ccc4ncsc4c3)cc2)cc1,Cc1ccccc1,joung,380.0,,,
C(#Cc1ccc2ncsc2c1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,Cc1ccccc1,joung,365.0,,,326.229939489608
C(#Cc1cccc(C#Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,CC#N,joung,331.0,,,305.7953144266338
C(#Cc1cccc(C#Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,CCCCC,joung,334.0,,,305.7953144266338
C(#Cc1cccc(C#Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,CO,joung,330.0,,,305.7953144266338
C(#Cc1cccc(C#Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,Cc1ccccc1,joung,336.0,,,305.7953144266338
C(#Cc1cccc(C#Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,ClC(Cl)Cl,joung,338.0,,,305.7953144266338
C(#Cc1cccc(C#Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,ClCCl,joung,329.0,,,305.7953144266338
C(#Cc1cccc2cc(-c3ccccc3)c3cc(-c4cc[b-]5c(c4)c(-c4ccccc4)cc4cccc(C#Cc6ccccc6)[n+]54)cc[b-]3[n+]12)c1ccccc1,C1CCCCC1,joung,546.0,,,484.18586489652483
C(#Cc1cccc2ccccc12)c1ncc(-c2ccccc2)o1,ClCCl,joung,350.0,,,330.8431163287086
C(#Cc1ccccc1)C(C#Cc1ccccc1)=Cc1c2ccccc2c(C=C(C#Cc2ccccc2)C#Cc2ccccc2)c2ccccc12,ClC(Cl)Cl,joung,432.0,,,394.77873288761543
C(#Cc1ccccc1)C(C#Cc1ccccc1)=Cc1ccc(-c2ccc(C=C(C#Cc3ccccc3)C#Cc3ccccc3)cc2)cc1,ClC(Cl)Cl,joung,394.0,,,396.67306461932185
C(#Cc1ccccc1)C(C#Cc1ccccc1)=Cc1ccc(C=C(C#Cc2ccccc2)C#Cc2ccccc2)cc1,ClC(Cl)Cl,multiple,416.0,,,427.4388142019993
C(#Cc1ccccc1)C(C#Cc1ccccc1)=Cc1ccc(C=C(C#Cc2ccccc2)C#Cc2ccccc2)s1,ClC(Cl)Cl,multiple,468.0,,,481.74048174048175
C(#Cc1ccccc1)C(C#Cc1ccccc1)=Cc1ccc2cc(C=C(C#Cc3ccccc3)C#Cc3ccccc3)ccc2c1,ClC(Cl)Cl,joung,418.0,,,365.24300441826216
C(#Cc1ccccc1)C(C#Cc1ccccc1)=Cc1cccc(C=C(C#Cc2ccccc2)C#Cc2ccccc2)c1,ClC(Cl)Cl,joung,349.0,,,326.91800685473237
C(#Cc1ccccc1)C(C#Cc1ccccc1)=Cc1ccccc1,ClC(Cl)Cl,joung,340.0,,,336.40803038524143
C(#Cc1ccccc1)C(C#Cc1ccccc1)=c1c2ccccc2c(=C(C#Cc2ccccc2)C#Cc2ccccc2)c2ccccc12,ClC(Cl)Cl,joung,540.0,,,437.38977072310405
C(#Cc1ccccc1)C1=CC=CN2B1C=Cc1c2ccc2ccccc12,C1CCCCC1,chem_fluor,348.0,344.578447173901,,321.41005702436496
C(#Cc1ccccc1)C1=Cc2ccc3ccccc3c2NB1c1ccccc1,C1CCCCC1,joung,387.0,,,330.93141179610353
C(#Cc1ccccc1)c1ccccc1,CCO,chem_fluor,373.0,291.1276500833471,273.0255190787591,274.76179924662085
C(#Cc1ccccc1)c1ccccc1,CCOC(C)=O,jcole,406.0,291.7441121803167,273.0255190787591,274.76179924662085
C(#Cc1ccccc1)c1ccccc1,CO,joung,298.0,,273.0255190787591,274.76179924662085
C(#Cc1ccccc1)c1ccccc1,ClC(Cl)Cl,joung,299.0,,273.0255190787591,274.76179924662085
C(#Cc1ccccc1)c1ccccc1,ClCCl,joung,299.0,,273.0255190787591,274.76179924662085
C(#Cc1cccs1)C(C#Cc1cccs1)=Cc1ccc(C=C(C#Cc2cccs2)C#Cc2cccs2)cc1,ClC(Cl)Cl,multiple,438.0,,,311.792808649736
C(#Cc1cccs1)C(C#Cc1cccs1)=Cc1ccc(C=C(C#Cc2cccs2)C#Cc2cccs2)s1,ClC(Cl)Cl,multiple,486.0,,,509.8684210526316
C(#Cc1cccs1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,ClCCl,jcole,332.0,330.4551753544398,,309.92251937015743
C(#Cc1cccs1)c1ncc(-c2ccccc2)o1,ClCCl,joung,325.0,,,323.84434578218855
C(#Cc1ccnc(C#Cc2ccc(C=C3C=C(c4ccccc4)OC(c4ccccc4)=C3)cc2)n1)c1ccc(C=C2C=C(c3ccccc3)OC(c3ccccc3)=C2)cc1,ClCCl,jcole,557.0,433.9761313127778,,392.40506329113924
C(#Cc1ccncc1)C(C#Cc1ccncc1)=Cc1ccc(C=C(C#Cc2ccncc2)C#Cc2ccncc2)cc1,ClC(Cl)Cl,multiple,420.0,,,422.77531537674736
C(#Cc1ccncc1)C(C#Cc1ccncc1)=Cc1ccc(C=C(C#Cc2ccncc2)C#Cc2ccncc2)s1,ClC(Cl)Cl,multiple,522.0,,,475.09578544061304
C(#Cc1nc(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c1C#Cc1ccccc1)c1ccccc1,ClCCl,joung,421.0,,,310.3103103103103
C(#Cc1nc(C#Cc2cccs2)c(C#Cc2cccs2)c(C#Cc2cccs2)c1C#Cc1cccs1)c1cccs1,ClCCl,joung,411.0,,,336.04336043360433
C(#Cc1nc2ccccc2s1)c1ccc(N(c2ccc(C#Cc3nc4ccccc4s3)cc2)c2ccc(C#Cc3nc4ccccc4s3)cc2)cc1,Cc1ccccc1,joung,404.0,,,353.78031383737516
C(#Cc1nc2ccccc2s1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,Cc1ccccc1,joung,388.0,,,340.2854006586169
C(#Cc1ncc(-c2ccccc2)o1)c1cccnc1,ClCCl,joung,330.0,,,310.93279839518556
C(#Cc1ncc(-c2ccccc2)o1)c1ccco1,ClCCl,joung,325.0,,,316.8924099156657
C(#Cc1nccnc1C#Cc1ccccc1)c1ccccc1,CC#N,joung,315.0,,,315.36113936927774
C(#Cc1ncnc2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,ClCCl,joung,411.0,,,343.3001107419712
